,APPLE_ID_ICLOUD,APPLE_MUSIC_LIBRARY,APP_CRASHING,BATTERY_DRAIN_HEALTH,DEVICE_ACTIVATION,DEVICE_FREEZING_UNRESPONSIVE,HARDWARE_PHYSICAL_DAMAGE,IOS_AUTOCORRECT_BUG,IOS_UPDATE_INSTALLATION,OTHER_UNCLEAR,WIFI_BLUETOOTH
APPLE_ID_ICLOUD,4,0,0,0,0,1,0,0,0,0,1
APPLE_MUSIC_LIBRARY,0,3,0,0,0,0,0,0,0,0,0
APP_CRASHING,0,0,1,0,0,2,0,0,0,0,0
BATTERY_DRAIN_HEALTH,0,0,0,5,0,0,0,0,0,0,0
DEVICE_ACTIVATION,0,0,0,0,3,0,0,0,0,0,0
DEVICE_FREEZING_UNRESPONSIVE,1,0,1,0,0,6,0,0,0,0,0
HARDWARE_PHYSICAL_DAMAGE,1,0,0,0,0,1,1,0,0,0,0
IOS_AUTOCORRECT_BUG,0,0,0,0,0,0,1,4,0,0,0
IOS_UPDATE_INSTALLATION,0,0,0,0,0,1,0,0,0,0,0
OTHER_UNCLEAR,0,1,1,0,1,1,1,0,0,4,1
WIFI_BLUETOOTH,1,0,0,0,0,0,0,0,0,0,2
