example_id,customer_text,true_intent,predicted_intent,retrieved_evidence,agent_response,escalation_decision,human_relevance_1_5,human_helpfulness_1_5,human_grounding_1_5,human_appropriateness_1_5,human_overall_1_5,human_notes
2347682,"@AppleSupport #AppleWatchSeries3 glitch? #AppleWatch #WatchOS4.1 https://t.co/QjZOsL1DJc | @AppleSupport Gone after reboot! Should have tried that first, QA testing for Apple. 👨🏽‍💻",OTHER_UNCLEAR,OTHER_UNCLEAR,"[""Customer: Wow, just wow \ud83d\udc4c\ud83c\udffd #applewatch #watchos4 @AppleSupport #apple https://t.co/o9Nk2VY7yH | @AppleSupport I\u2019ve written a DM | Response: @575129 We can help with this update. Are you connected to Wi-Fi currently? Have there been any interruptions since the download started?"", ""Customer: @115858 please help | @AppleSupport Testing I\ufe0f I\ufe0f I\ufe0f | @AppleSupport Testing again , I | @AppleSupport I can\u2019t type I\u2019s again | Response: @477153 Thanks for reaching out to us. If you're on iOS 11.1, try these steps: https://t.co/xU1AGHStV6 https://t.co/GDrqU22YpT | @477153 Thanks for giving that a shot. Shoot us a DM when you have a chance, and we'll take it from there. https://t.co/GDrqU22YpT"", ""Customer: @AppleSupport when y\u2019all gone fix this glitch https://t.co/hhaevGFsv8 | Response: @484900 We'd love to help. For assistance with that, click here: https://t.co/xXaXefaskH Let us know if you have questions.""]","Could you provide more details about the issue? Otherwise, let me connect you with a human agent.",True,2.0,2.0,3.0,4.0,2.0,"Unclear issue; escalation is appropriate, but the reply is generic and ignores that reboot already fixed it."
1181761,@AppleSupport why can’t I restart my phone?,DEVICE_FREEZING_UNRESPONSIVE,DEVICE_FREEZING_UNRESPONSIVE,"[""Customer: Ever since this new iOS update I\u2019ve had to restart my phone at least once a day.  @115858 is \ud83d\udeae\ud83d\udeae | Response: @339523 We want to help you get your iPhone running properly again. What issue is prompting you to restart your iPhone?"", ""Customer: @115858 wtf https://t.co/4Ck5XP2Hi8 | @AppleSupport iOS 11.2, I did not restart my phone before. | Response: @497659 We want to help. Does this behavior occur after restarting your iPhone? What iOS version is installed? | @497659 Let's look into this further. DM us to continue. https://t.co/GDrqU22YpT"", ""Customer: Why does my phone restart by itself smh @AppleSupport | Response: @245227 Wed love to help and have released an update overnight that may fix this issue for you. Follow these steps and let us know how it goes: https://t.co/osZOKKTalm""]","Hi there! I’m sorry you’re having trouble restarting your iPhone. Let’s try a few quick steps to see if we can get it working again.

1. **Check for a pending update**  
   - Go to **Settings → General → Software Update**.  
   - If an update is available, install it. Updates often fix restart‑related bugs.

2. **Try a normal restart**  
   - **iPhone 8 or later**: Press and hold the **Side button** and either **Volume button** until the power‑off slider appears. Drag the slider, wait for the device to shut down, then press and hold the Side button again until the Apple logo appears.  
   - **iPhone 7/7 Plus**: Press and hold the **Side button** until the slider appears, then follow the same steps.  
   - **iPhone 6s or earlier**: Press and hold the **Top (or Side) button** until the slider appears, then follow the same steps.

3. **Force‑restart if the normal method doesn’t work**  
   - **iPhone 8 or later**: Quickly press and release the **Volume Up** button, quickly press and release the **Volume Down** button, then press and hold the **Side button** until the Apple logo appears.  
   - **iPhone 7/7 Plus**: Press and hold both the **Volume Down** button and the **Side button** until the Apple logo appears.  
   - **iPhone 6s or earlier**: Press and hold both the **Home** button and the **Top (or Side) button** until the Apple logo appears.

4. **Check for battery or hardware issues**  
   - If the phone is completely unresponsive or the screen stays black, try plugging it into a charger for a few minutes and then attempt a force‑restart again.

5. **What happens when you try to restart?**  
   - Are you seeing any error messages, a frozen screen, or does the phone just stay on?  
   - Does it restart normally but then immediately reboot on its own?

If you’ve tried the steps above and the phone still won’t restart, let me know what device model and iOS version you’re running, and any symptoms you’re seeing. That’ll help me guide you further.",False,5.0,5.0,4.0,5.0,5.0,Direct and actionable restart troubleshooting with useful follow-up questions.
1458717,"@AppleSupport “…the activation server is temporarily unavailable… If this problem persists…” Well, it’s persisting.",DEVICE_ACTIVATION,DEVICE_ACTIVATION,"[""Customer: @AppleSupport Help!!! Keep getting \""activation server is temporarily unavailable\"" Trying to set up iPhoneX. Is there another way?? | Response: @592264 Thanks for reaching out. Try following these steps and DM us if you still have issues: https://t.co/Mhw9pFAK08 https://t.co/GDrqU22YpT"", ""Customer: Oh lovely: \""the activation server is temporarily unavailable.\""\n\n@AppleSupport What's up guys?! | Response: @477946 Are you having trouble activating your iPhone? Try the steps here: https://t.co/QFR6Mo17Z4 Let us know how it goes."", ""Customer: @AppleSupport trying to set up my iPhone X and have been getting an \""activation Server is temporarily unavailable message\"" for 30 min. Help! | Response: @592247 We want to help. Try following these steps and DM us if you're still have issues: https://t.co/Mhw9pFAK08 https://t.co/GDrqU22YpT""]","Hi there! Thanks for reaching out.  
If the “activation server is temporarily unavailable” message keeps showing up, try the steps in the link below. It covers the most common fixes (checking your network, restarting, etc.):

https://t.co/Mhw9pFAK08  
https://t.co/GDrqU22YpT  

If you still see the error after following those steps, let us know and we’ll dig deeper.",False,5.0,5.0,5.0,5.0,5.0,Directly matches the activation-server issue and follows the retrieved historical resolution path.
1830334,How do you clear newer notifications off of the home screen in the new #iOS? @AppleSupport https://t.co/HMpjMESJL6,OTHER_UNCLEAR,OTHER_UNCLEAR,"[""Customer: Really @116333 ? No way to clear all the notifications in iOS11? Just one by one? @AppleSupport @115858 https://t.co/n0tkbHrLIy | Response: @500362 We love to hear your feedback. Please submit it here: https://t.co/eTPVYVFyd8"", ""Customer: @AppleSupport how are 3-hour old notifications not \u201cold notifications\u201d that I can clear all at once? Remember when I could do that in iOS10? | Response: @451105 We can help, take a look here: https://t.co/2txgOv5s2M"", ""Customer: @115858 the new setup to clear notifications is pretty awful\u203c\ufe0f One X to clear all would be wonderful | Response: @327795 We appreciate your feedback regarding clearing all of your notifications. Send it to us online at: https://t.co/eTPVYVFyd8""]","Could you provide more details about the issue? Otherwise, let me connect you with a human agent.",True,5.0,2.0,4.0,4.0,3.0,Recognizes a support issue but asks for details instead of answering the notification question.
1813546,"@AppleSupport  IOS 11 ruins battery life 🙄,please fix it",BATTERY_DRAIN_HEALTH,BATTERY_DRAIN_HEALTH,"[""Customer: Fix the battery life on iOS 11, please!!  \ud83d\ude24\ud83d\ude24\ud83d\ude24 @115858 @AppleSupport | Response: @174428 Thanks for contacting us. We know battery life is important. We recommend checking out this link: https://t.co/bivpdfBNJ6"", ""Customer: FIX THIS BATTERY LIFE @115858 @AppleSupport | Response: @193148 We'd love to help if you're experiencing an issue with battery life. Which device &amp; OS version is this occurring on?"", ""Customer: Wow hate the stupid question mark. It ruins everything @115858 | Response: @501589 Here\u2019s what you can do to work around the issue until it\u2019s fixed in a future software update: https://t.co/xXaXeeSRt9""]","Thanks for reaching out. We know battery life is important. Which device are you using? In the meantime, you can try the battery‑optimization steps here: https://t.co/bivpdfBNJ6. Let us know if that helps or if you need further assistance.",False,5.0,4.0,5.0,5.0,5.0,Relevant battery guidance with a useful device question and grounded historical support.
1768150,Cracked my IPhone 8 screen S/O @115858,HARDWARE_PHYSICAL_DAMAGE,HARDWARE_PHYSICAL_DAMAGE,"[""Customer: I cracked my phone this weekend @115858 help me out \ud83d\ude2d | Response: @712607 We know how important your iPhone is and would like to help. What kind of iPhone do you have?"", ""Customer: @AppleSupport I broke my iPhone when on a night out and now because my screen is broke I cannot connect to iTunes to back up all my stuff. | @AppleSupport But my phone screen is cracked to the point where I cannot see anything lol | Response: @529995 There still might be a way to back up.  You may have turned on the iCloud for backups.  Take a look: https://t.co/4f8hwT5to6 | @529995 Are you able to connect to iTunes on a computer? There, you can see when iCloud was last backed up.  https://t.co/HRs3LGMS41"", ""Customer: @AppleSupport my iPod screen is cracked and the touch screen isn't working. What box is it best to tick to get both issues repaired? https://t.co/G7YzTMCKKJ | Response: @296726 Great question. You can choose the option for \""Screen is cracked\"" and you'll be provided with your available options.""]","Hi there! I’m sorry to hear your iPhone 8 screen cracked. Here’s what you can do next:

1. **Repair options**  
   * **Apple Store / Authorized Service Provider** – You can schedule a repair in‑person. If you have AppleCare+, the screen replacement cost is reduced.  
   * **Mail‑in repair** – If you can’t visit a store, you can send the device in for repair.  
   * **Self‑service** – If you’re comfortable, you can purchase a replacement screen and install it yourself, but this isn’t covered by warranty.

2. **Backing up your data**  
   * If the screen is still usable enough to tap, you can back up to iCloud (Settings → [Your name] → iCloud → iCloud Backup).  
   * If you can connect the phone to a computer, iTunes (or Finder on macOS Catalina and later) will show the last backup time and let you back up the device.

3. **Next steps**  
   * Open the Apple Support app or visit the Apple website to schedule an appointment or request a mail‑in repair.  
   * Let me know if you have AppleCare+ or if you’d like help backing up your data before the repair.

Feel free to ask if you need more details or help with any of these steps!",False,5.0,3.0,2.0,3.0,3.0,"Correct intent, but several repair/AppleCare/self-service claims are not grounded in the retrieved evidence."
40460,The letter “I️” is malfunctioning when typing. Pleasure halp! @AppleSupport,IOS_AUTOCORRECT_BUG,IOS_AUTOCORRECT_BUG,"[""Customer: @AppleSupport That\u2019s \ud83d\udc41 . #Halp https://t.co/fddmOSUgj9 | Response: @592713 Thanks for reaching out. We have an article with some helpful steps: https://t.co/QzF1SrcQLI DM us any questions. https://t.co/GDrqU22YpT"", ""Customer: Why do i see \u201cI\u201d as \u201cA?\u201d @AppleSupport? HALP | Response: @498517 Thanks for reaching out. We currently have a workaround for this. Here's how: https://t.co/xXaXeeSRt9"", ""Customer: @AppleSupport halp https://t.co/iRNNWHkeQ9 | Response: @189768 We'd be happy to help. See \""If you can\u2019t reach the update server or can\u2019t verify the update\"" here: https://t.co/Ui1yTnOCUz""]","@YourUsername Thanks for reaching out. We have a workaround for the “I” key showing up incorrectly. Please follow the steps in this article: https://t.co/xXaXeeSRt9. If the issue persists or you’re using a different device, let us know and we’ll dig deeper.",False,5.0,5.0,5.0,5.0,5.0,Directly addresses the known I-key/autocorrect glitch with a relevant workaround.
2035854,"@AppleSupport this is an issue regarding apple music, but the slider will get stuck on a time while the music continues playing https://t.co/amBpLCivsE",APPLE_MUSIC_LIBRARY,APPLE_MUSIC_LIBRARY,"[""Customer: @AppleSupport hi can you help me? i have questions regarding apple music | Response: @703035 We're here to help. Let us know what's going on, and we'll see what we can do."", ""Customer: What\u2019s a number I can call @AppleSupport my music not working | @AppleSupport Yes it\u2019s not playing my music | Response: @423208 You can contact us based on your region here: https://t.co/IBIY3vMgPj Are you having trouble with just the Music app? | @423208 We\u2019re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L"", ""Customer: @115948 @AppleSupport  need some help regarding apple music please contact ... | Response: @805722 We'll help in any way we can. Please let us know more about what's happening.""]","Could you provide more details about the issue? Otherwise, let me connect you with a human agent.",True,5.0,2.0,3.0,4.0,3.0,Correctly identifies Apple Music but gives little immediate help beyond escalation.
2967809,"@113894 Responds to ping, and web server replying, but cannot authenticate ssh or IMAP.",OTHER_UNCLEAR,OTHER_UNCLEAR,"[""Customer: @AppleSupport how to ping on iphone 5 bbm. hehe :D | Response: @186607 We\u2019d like to help as best we can. Do you want to set up notifications for a third-party messaging app?"", ""Customer: @115858 with every update my phone responds slower, WTH are you doing and please fix whatever it is! | Response: @154032 We want your iPhone to work as fast as you expect it to. What kind of specific issues are you seeing? Does restarting your iPhone help at all?"", ""Customer: @AppleSupport Iphone is disabled and to get onlinenhelp I need to receive a text to authenticate the device.... How is this helpful? | Response: @679692 We are here to help. Let's take a look at the steps in this article. https://t.co/F1QfwW1u1N""]","Could you provide more details about the issue? Otherwise, let me connect you with a human agent.",True,5.0,4.0,5.0,5.0,5.0,Appropriate clarification and escalation for an out-of-taxonomy technical issue; avoids guessing.
1302857,@AppleSupport my Apple Music isn't working,APPLE_MUSIC_LIBRARY,APPLE_MUSIC_LIBRARY,"[""Customer: Hey @AppleSupport @115948 i paid for my Apple Music and it isn\u2019t working????????? | @AppleSupport Apple Music | @AppleSupport I can access it but it won\u2019t play music | Response: @819560 Thanks for reaching out to us this evening. We'd be happy to look into what's going on with your Apple Music. To start, which device and software version are you having issues with? Also, what seems to be going on? | @819560 Thanks for providing that additional information. So we can look into the next steps, what happens when you try to access Apple Music? | @819560 Got it, thanks! Going forward, let's go ahead and update to the most recent iOS and test the issue afterwards. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"", ""Customer: @115948 @AppleSupport what\u2019s going on my music not working \u2639\ufe0f | Response: @418498 We\u2019re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L"", ""Customer: Why isn\u2019t @197548 Red Barz not on apple music. @115858 fix this! | Response: @197547 We've got a great site where you can make music requests. Head over to this site: https://t.co/vcSzj5tstI""]","Hi there! Let’s get your Apple Music back on track.

1. **What’s happening?**  
   • Are you seeing an error message, or does the app just stay stuck?  
   • Does it work on any other device (iPhone, iPad, Mac, Apple TV)?

2. **Device & software**  
   • Which device are you using?  
   • What iOS, iPadOS, macOS, or tvOS version is installed?

3. **Quick checks**  
   • Make sure you’re signed in with the Apple ID that has the subscription.  
   • Verify you have an active internet connection.  
   • Try signing out of Apple Music, then signing back in.  
   • If you’re on iOS/iPadOS, go to Settings → General → Software Update and install any available updates.

4. **System status**  
   • Occasionally Apple Music experiences outages. You can check the current status here: https://www.apple.com/support/systemstatus/

Once you’ve tried those steps, let me know what you see and we’ll dig deeper if needed.",False,5.0,5.0,4.0,5.0,5.0,Strong Apple Music troubleshooting flow; a few generic checks extend beyond retrieved evidence.
